id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
1740,Groundbreaker,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2014,Private,United States,United States,30,,,,Active
1741,GROUNDFLOOR,Digital Capital Raising,Real Estate Crowdfunding,2013.0,2014,Private,United States,United States,76,,,,Active
1742,Groundspeed,"Enterprise Tech Provisioning, InsurTech","AI / ML / NLP, Claims & Risk Management Solutions",2013.0,2016,Private,United States,United States,51-200,,,,Active
1743,Grow.ly,Digital Lending,P2P / Marketplace Business Lending,2012.0,2012,Private,Spain,Spain,6,,,,Active
1744,Growpal,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2016.0,2017,Private,Indonesia,Indonesia,10-Jan,,,,Active
1745,Growth Street,Digital Lending,P2P / Marketplace Business Lending,2013.0,2014,Private,United Kingdom,United Kingdom,30,,,,Active
1746,Growthdeck,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2016,Private,United Kingdom,United Kingdom,30,,,,Active
1747,GrowthPal,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2019.0,2020,Private,India,India,Nov-50,,,,Active
1748,Groww,WealthTech,"Digital Wealth Management, Financial Comparison Sites, Personal Financial Management / Planning",2016.0,2016,Private,India,India,501-1000,,,,Active
1749,Gṛo,"WealthTech, Digital Savings, Digital Payments","Personal Financial Management / Planning, Digital Micro Saving Solutions, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B)",2018.0,2018,Private,Brazil,Brazil,Nov-50,,,,Active
1750,Guangxindai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014.0,2015,Private,China,China,6,,,,Active
1751,Guanxi Invest,Digital Capital Raising,Equity-Based Crowdfunding,2017.0,2017,Private,Cameroon,Cameroon,6,,,,Active
1752,Guarda,Digital Custody,Unhosted Cryptoasset Wallet,2017.0,2017,Private,Estonia,Estonia,6,,,,Active
1753,Guideline,"WealthTech, Digital Custody, Enterprise Tech Provisioning, RegTech","Pension-Led Funding, Personal Financial Management / Planning, Third-Party Custody, Financial Management & Business Intelligence, Dynamic Compliance, Education and Training",2015.0,2015,Private,United States,United States,51-200,,,,Active
1754,Gujinsuo,Digital Lending,P2P / Marketplace Property Lending,,2015,Private,China,China,,2019.0,,,Inactive
1755,Gulungo,"Digital Lending, Cryptoasset Exchange","P2P / Marketplace Business Lending, Invoice Trading, Institutional Brokerage Services",2016.0,2016,Private,Colombia,Colombia,6,,,,Active
1756,Gust,Digital Capital Raising,Equity-Based Crowdfunding,2004.0,2004,Private,United States,United States,30,,,,Active
1757,Gusto,"RegTech, Enterprise Tech Provisioning, InsurTech, Digital Payments, Digital Savings, Digital Lending, WealthTech","Dynamic Compliance, Financial Management & Business Intelligence, Digital Brokers or Agents, Money Transfer (P2P / P2B / B2P / B2B), Digital Micro Saving Solutions, Balance Sheet Consumer Lending, Personal Financial Management / Planning",2011.0,2012,Private,United States,United States,1001-5000,,,,Active
1758,GyanDhan,Digital Lending,P2P / Marketplace Consumer Lending,2015.0,2015,Private,India,India,6,,,,Active
1759,Gyft,Digital Payments,Consumer Spending,2012.0,2013,Public,United States,United States,,,,,Active
1760,Gyra+,Digital Lending,Balance Sheet Business Lending,2017.0,2017,Private,Brazil,Brazil,51-200,,,,Active
1761,Haasonline,Cryptoasset Exchange,Aggregation,,2013,Private,Belize,Netherlands,,,,,Active
1762,Habito,Digital Lending,P2P / Marketplace Property Lending,2015.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
1763,HaitiPay S.A.,Digital Payments,"Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants",2018.0,2018,Private,United States,Haiti,9,,,,Active
1764,Haixiangdai,Digital Capital Raising,Revenue / Profit Share Crowdfunding,,2017,Private,China,China,,,,,Active
1765,hala,InsurTech,Digital Brokers or Agents,2019.0,2019,Private,United Arab Emirates,United Arab Emirates,17,,,,Active
1766,Hamwe,RegTech,"Market Monitoring, Application development",2013.0,2013,Private,Uganda,Uganda,10-Jan,,,,Active
1767,Handle Financial,"Digital Payments, Enterprise Tech Provisioning","Payment Aggregators, Payment Gateways, Financial Management & Business Intelligence",2009.0,2009,Private,United States,United States,51-200,,,,Active
1768,Haodaibao,Digital Lending,P2P / Marketplace Business Lending,2014.0,2014,Private,China,China,201-500,2021.0,,,Inactive
1769,Happay,"Enterprise Tech Provisioning, Digital Payments","Digital Accounting, Financial Management & Business Intelligence, eMoney Issuers",2012.0,2012,Private,India,India,201-500,,,,Active
1770,Happy,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending, Invoice Trading",2016.0,2018,Private,India,India,Nov-50,,,,Active
1771,Happy Capital,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Mini-Bonds, Real Estate Crowdfunding",2013.0,2013,Private,France,France,6,,,,Active
1772,HappyEMI ,Digital Lending,Customer Cash-Advance,,2017,Private,India,India,Nov-50,,,,Active
1773,Harbor,"Enterprise Tech Provisioning, Digital Identity, RegTech","Financial Management & Business Intelligence, Enterprise Blockchain, KYC Solutions, Dynamic Compliance",,2018,Private,United States,United States,Nov-50,,,,Active
1774,Harborly,Cryptoasset Exchange,Order-Book,2015.0,2013,Private,United States,United States,,2015.0,,,Inactive
1775,Hardbit,Digital Custody,Hardware Cryptoasset Wallet,,2014,Private,Unidentified,China,,2017.0,,,Inactive
1776,Harmoney,Digital Lending,P2P / Marketplace Consumer Lending,2012.0,2014,Private,New Zealand,New Zealand,176,,,,Active
1777,Harvest Returns,"Digital Capital Raising, WealthTech","Equity-Based Crowdfunding, Personal Financial Management / Planning",2019.0,2016,Private,United States,United States,10-Jan,,,,Active
1778,Hash ,"Enterprise Tech Provisioning, Digital Payments, RegTech","API Management, Financial Management & Business Intelligence, Payment Aggregators, Payment Gateways, Dynamic Compliance",2017.0,2017,Private,Brazil,Brazil,51-200,,,,Active
1779,HashFast,Consensus Services,Hardware Manufacturing,2013.0,2014,Private,United States,United States,Nov-50,2015.0,,,Inactive
1780,HashInvest Capital,"WealthTech, Cryptoasset Exchange, Digital Custody","Digital Wealth Management, Advanced Trading Services, Key Management Services",2017.0,2017,Private,Brazil,Brazil,10-Jan,,,,Active
1781,Hashkey Digital Asset Group,"Cryptoasset Exchange, Consensus Services, Digital Custody","Market Making, Retail Brokerage Services, Single Dealer Platform / OTC Trading, Staking-as-a-Service, Hosted Cryptoasset Wallet",2018.0,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,,,,Active
1782,HashPlex,Consensus Services,Remote Hosting Services,2014.0,2014,Private,United States,United States,,2018.0,,,Inactive
1783,HashRabbit,Consensus Services,Firmware & Software Development,2014.0,2014,Private,United States,United States,,,,,Active
1784,Hashstack Finance,Digital Lending,"Balance Sheet Consumer Lending, Consensus-based oracle, Software oracle",2021.0,2021,Private,India,India,10-Jan,,,,Active
1785,Headstart,Digital Capital Raising,Reward-Based Crowdfunding,2016.0,2016,Private,Israel,United Kingdom,30,,,,Active
1786,Healthfin,Digital Lending,P2P / Marketplace Consumer Lending,2016.0,2016,Private,India,India,Nov-50,,,,Active
1787,HealthJoy,Digital Savings,Savings-as-a-Service (SaaS),2014.0,2015,Private,United States,United States,201-500,,,,Active
1788,HealthySure,InsurTech,"Digital Brokers or Agents, Claims & Risk Management Solutions",2020.0,2020,Private,India,India,Nov-50,,,,Active
1789,HeavyFinance,Digital Capital Raising,"Revenue / Profit Share Crowdfunding, Real Estate Crowdfunding",2020.0,2020,Private,Lithuania,Lithuania,10-Jan,,,,Active
1790,Hedgeable,WealthTech,"Personal Financial Management / Planning, Pension-Led Funding, Digital Wealth Management, Education and Training",2009.0,2009,Private,United States,United States,Nov-50,2018.0,,,Inactive
1791,Hedgy,Cryptoasset Exchange,"Retail Brokerage Services, Single Dealer Platform / OTC Trading",2014.0,2014,Private,United States,United States,,2018.0,,,Inactive
1792,Helicap,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2018.0,2018,Private,Singapore,Singapore,Nov-50,,,,Active
1793,Helios.do,"Digital Banks, WealthTech","Fully Digitally Native Bank (Retail), Personal Financial Management / Planning",,2020,Private,France,France,Nov-50,,,,Active
1794,Hello ZUM,InsurTech,"Technical Service Provider (TSP), Customer Management, Claims & Risk Management Solutions",2012.0,2012,Private,Unidentified,Peru,Nov-50,,,,Active
1795,Helloblock,Enterprise Tech Provisioning,"API Management, API Interface, Block Explorers",2014.0,2014,Private,United States,United States,,2015.0,,,Inactive
1796,HelloGold,Digital Savings,Digital Micro Saving Solutions,2015.0,2016,Private,Malaysia,Malaysia,Nov-50,,,,Active
1797,Hepan Finance,Digital Lending,P2P / Marketplace Consumer Lending,2013.0,2016,Private,China,China,6,,,,Active
1798,Hepstar,InsurTech,"Digital Brokers or Agents, On-Demand Insurance",2013.0,2013,Private,South Africa,South Africa,Nov-50,,,,Active
1799,Herio Capital,Digital Lending,Balance Sheet Business Lending,2014.0,2015,Private,United States,United States,30,,,,Active
1800,Hex Trust,Digital Custody,Hosted Cryptoasset Wallet,2018.0,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
1801,HEXAGONe,Digital Capital Raising,Real Estate Crowdfunding,2015.0,2013,Private,France,France,,,,,Active
1802,Hexindai,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014.0,2014,Public,China,China,376,,,,Active
1803,Hi Marley ,Enterprise Tech Provisioning,"API Management, AI / ML / NLP",2017.0,2018,Private,United States,United States,51-200,,,,Active
1804,HighCastle,"Enterprise Tech Provisioning, Digital Capital Raising","Financial Management & Business Intelligence, Capital Raising Institutional Brokerage",2016.0,2016,Private,United Kingdom,United Kingdom,7,,,,Active
1805,HighRadius,"Enterprise Tech Provisioning, Digital Payments, Alternative Credit Analytics","Financial Management & Business Intelligence, Digital Accounting, Cloud Computing, AI / ML / NLP, Electronic Invoicing, Payment Gateways, Credit Scoring, Education and Training",2006.0,2006,Private,United States,United States,1001-5000,,,,Active
1806,Hippo ,InsurTech,"Digital Brokers or Agents, Customer Management, IoT (including Telematics), Claims & Risk Management Solutions",2015.0,2017,Public,United States,United States,201-500,,,,Active
1807,HitBTC,Cryptoasset Exchange,"Order-Book, Market Making, Single Dealer Platform / OTC Trading, API Interface",2013.0,2014,Private,Panama,"Hong Kong SAR, China",,,,,Active
1808,HIVE Blockchain Technologies Ltd,Consensus Services,Remote Hosting Services,1987.0,2017,Public,Canada,Canada,,,,,Active
1809,hiveonline,"Enterprise Tech Provisioning, Digital Savings, InsurTech, Alternative Credit Analytics","Enterprise Blockchain, Digital Micro Saving Solutions, Claims & Risk Management Solutions, Credit Scoring",2016.0,2016,Private,Denmark,Denmark,10-Jan,,,,Active
1810,HMBradley,"WealthTech, Digital Banks, Digital Savings, Digital Lending","Personal Financial Management / Planning, Fully Digitally Native Bank (Retail), Agent Banking (Cash-In / Cash-Out), Digital Micro Saving Solutions, Balance Sheet Consumer Lending",2018.0,2020,Private,United States,United States,Nov-50,,,,Active
1811,HNW Lending,"Digital Lending, WealthTech","P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Digital Wealth Management",2013.0,2013,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
1812,HodlBot,"Cryptoasset Exchange, Enterprise Tech Provisioning","Trading Bots, API Management",2018.0,2018,Private,Canada,Canada,10-Jan,,,,Active
1813,Holic Farms,Consensus Services,"Hashrate Brokerage, Remote Hosting Services",,2019,Private,Unidentified,Kazakhstan,10-Jan,,,,Active
1814,HolyTransaction,"Digital Custody, Cryptoasset Exchange","Hosted Cryptoasset Wallet, Retail Brokerage Services",2015.0,2014,Private,Luxembourg,Luxembourg,,,,,Active
1815,Home Rocket,Digital Capital Raising,Real Estate Crowdfunding,2016.0,2015,Private,Germany,Austria,Nov-50,,,,Active
1816,HomeCapital,Digital Lending,Balance Sheet Property Lending,2017.0,2017,Private,India,India,Nov-50,,,,Active
1817,HomeLight,"InsurTech, Digital Lending","Digital Brokers or Agents, Balance Sheet Property Lending",2011.0,2019,Private,United States,United States,51-200,,,,Active
1818,Hometap ,Digital Lending,Balance Sheet Consumer Lending,2018.0,2018,Private,United States,United States,51-200,,,,Active
1819,Hometuls,Enterprise Tech Provisioning,"Electronic Invoicing, Financial Management & Business Intelligence",,2017,Private,Colombia,Colombia,10-Jan,,,,Active
1820,Homunity,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2014,Private,France,France,6,,,,Active
1821,Honcho,InsurTech,"Comparison Portal, Digital Brokers or Agents",2014.0,2016,Private,United Kingdom,United Kingdom,15,,,,Active
1822,Honest,"Enterprise Tech Provisioning, WealthTech","Financial Management & Business Intelligence, Financial Comparison Sites",2017.0,2017,Private,Spain,Spain,10-Jan,,,,Active
1823,Honeybadger,Cryptoasset Exchange,"Bitcoin Teller Machines (BTM), Lending / Borrowing",,2016,Private,Unidentified,Canada,,,,,Active
1824,HoneyBee,Digital Lending,"Balance Sheet Consumer Lending, Education and Training",2015.0,2017,Private,United States,United States,Nov-50,,,,Active
1825,HoneyBook,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Payment Gateways",2012.0,2013,Private,United States,United States,51-200,,,,Active
1826,Honeyminer,Consensus Services,Firmware & Software Development,2017.0,2019,Private,United States,United States,,2021.0,,,Inactive
1827,Hooandja,Digital Capital Raising,Reward-Based Crowdfunding,2011.0,2011,Private,Estonia,Estonia,6,,,,Active
1828,hoolah,Digital Lending,Customer Cash-Advance,2017.0,2017,Private,Singapore,Singapore,51-200,,,,Active
1829,Hoolders,Digital Capital Raising,Equity-Based Crowdfunding,2012.0,2012,Private,France,France,30,,,,Active
1830,Hop Financial Solutions,"Digital Banks, Digital Lending","Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME), Balance Sheet Consumer Lending",2018.0,2018,Private,United Kingdom,India,17,,,,Active
1831,Hostbooks,"Enterprise Tech Provisioning, RegTech","Digital Accounting, Dynamic Compliance",2009.0,2009,Private,India,India,201-500,,,,Active
1832,Hotfoot Technology Solutions,"Digital Identity, Enterprise Tech Provisioning","KYC Solutions, API Management",2016.0,2018,Private,India,India,51-200,,,,Active
1833,HouseAfrica,Enterprise Tech Provisioning,Enterprise Blockchain,2019.0,2019,Private,Nigeria,Nigeria,Nov-50,,,,Active
1834,Housers,Digital Lending,P2P / Marketplace Property Lending,2012.0,2014,Private,Spain,Spain,76,,,,Active
1835,Hubbub,Digital Capital Raising,Reward-Based Crowdfunding,2011.0,2014,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
1836,Hubpay,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Top-ups & Refills",2020.0,2018,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
1837,Human Interest,"RegTech, WealthTech","Dynamic Compliance, Robo Retirement / Pension Planning, Digital Wealth Management",2015.0,2015,Private,United States,United States,501-1000,,,,Active
1838,Hummingbird,RegTech,"Risk Analytics, Dynamic Compliance, Profiling & Due Diligence",2016.0,2017,Private,United States,United States,38,,,,Active
1839,Huobi Global,"Cryptoasset Exchange, Digital Custody, Consensus Services, Digital Payments","Order-Book, Advanced Trading Services, Single Dealer Platform / OTC Trading, Retail Brokerage Services, Institutional Brokerage Services, Unhosted Cryptoasset Wallet, Third-Party Custody, Pool Operation, Staking-as-a-Service, Asset-Backed Stablecoin",2013.0,2013,Private,British Virgin Islands,Singapore,1001-5000,,,,Active
1840,HURRA.COM,Digital Lending,Balance Sheet Consumer Lending,1998.0,1998,Private,Mexico,Germany,376,,,,Active
1841,Hushang Caifu,Digital Lending,P2P / Marketplace Consumer Lending,2013.0,2014,Private,China,China,,2018.0,,,Inactive
1842,Huspy,Digital Lending,P2P / Marketplace Property Lending,2020.0,2020,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
1843,HUSTLE FLYWHEEL,Digital Lending,Balance Sheet Business Lending,2019.0,2019,Private,Singapore,Singapore,10-Jan,,,,Active
1844,Hut 8 Mining,Consensus Services,Proprietary Hashing,2011.0,2017,Public,Canada,Canada,Nov-50,,,,Active
1845,HuyDong.com,Digital Lending,P2P / Marketplace Business Lending,2014.0,2014,Private,Vietnam,Vietnam,6,,,,Active
1846,Hydbest,"Digital Lending, Digital Capital Raising","P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Donation-Based Crowdfunding",2014.0,2014,Private,China,China,Nov-50,2020.0,,,Inactive
1847,Hydrogen,Enterprise Tech Provisioning,"Enterprise Blockchain, API Management, Financial Management & Business Intelligence",2017.0,2018,Private,United States,United States,51-200,,,,Active
