Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Obsidiam,"Digital Custody, Cryptoasset Exchange, Digital Payments","Hosted Cryptoasset Wallet, P2P Cryptoasset Marketplaces, Money Transfer (Cryptoasset)",2018,2018,Private,Costa Rica,Costa Rica,10-Jan,,,,Active
Ocharge,Digital Payments,"Top-ups & Refills, Acquiring Services Providers for Merchants",2016,2016,Private,Kenya,Kenya,Nov-50,2019,,,Inactive
Ocrolus,"Enterprise Tech Provisioning, RegTech, Digital Identity","Cloud Computing, API Management, Financial Management & Business Intelligence, AI / ML / NLP, Dynamic Compliance, Risk Analytics, Fraud Prevention & Risk Management",2016,2014,Private,United States,United States,201-500,,,,Active
Octamile,InsurTech,"IoT (including Telematics), Claims & Risk Management Solutions, Technical Service Provider (TSP)",2021,2021,Private,United States,Nigeria,10-Jan,,,,Active
Octet,"Digital Lending, Digital Payments","Invoice Trading, Balance Sheet Business Lending, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2007,2008,Private,Australia,Australia,51-200,,,,Active
October,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,France,France,76,,,,Active
ODeX,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Business Lending, Financial Management & Business Intelligence",2015,2015,Private,India,India,51-200,,,,Active
OfBusiness,"Digital Lending, Enterprise Tech Provisioning","Balance Sheet Consumer Lending, Balance Sheet Business Lending, Financial Management & Business Intelligence",2015,2015,Private,India,India,501-1000,,,,Active
Ohm Mobility,Digital Lending,Balance Sheet Consumer Lending,2020,2021,Private,India,India,Nov-50,,,,Active
Ohpen,"WealthTech, Digital Savings, Enterprise Tech Provisioning","Digital Wealth Management, Savings-as-a-Service (SaaS), Financial Management & Business Intelligence",2009,2014,Private,Netherlands,Netherlands,201-500,,,,Active
Okane Capital,Cryptoasset Exchange,"High-Frequency Trading (HFT) Services, Single Dealer Platform / OTC Trading",2018,2018,Private,Chile,Chile,10-Jan,,,,Active
Okapi Finance,"Digital Payments, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Payment Gateways, Acquiring Services Providers for Merchants, Personal Financial Management / Planning",,2013,Private,Sweden,Sweden,Nov-50,,,,Active
OkCredit ,Enterprise Tech Provisioning,"Digital Accounting, Electronic Invoicing",2016,2017,Private,India,India,51-200,,,,Active
OKEx,"Cryptoasset Exchange, Digital Payments, Consensus Services, Enterprise Tech Provisioning, Digital Custody","Order-Book, Advanced Trading Services, Single Dealer Platform / OTC Trading, Decentralised Exchange (DEX) Relayer, P2P Cryptoasset Marketplaces, Asset-Backed Stablecoin, Pool Operation, Enterprise Blockchain, API Management, Cloud Computing, Hardware Cryptoasset Wallet, Hosted Cryptoasset Wallet",,2017,Private,Seychelles,Seychelles,501-1000,,,,Active
OKLink,"Digital Payments, Enterprise Tech Provisioning","Asset-Backed Stablecoin, Enterprise Blockchain, Block Explorers, Education and Training",2016,2016,Private,"Hong Kong SAR, China","Hong Kong SAR, China",51-200,,,,Active
OKO,"InsurTech, Digital Lending","Parametric-Based Insurance, Claims & Risk Management Solutions, Digital Brokers or Agents, Technical Service Provider (TSP), P2P / Marketplace Business Lending",,2018,Private,Mali,Mali,10-Jan,,,,Active
Okoleak,Digital Lending,Balance Sheet Business Lending,,2017,Private,Kenya,Kenya,,,,,Active
Okra,Digital Payments,API Hubs for Payments,2019,2020,Private,United States,Nigeria,Nov-50,,,,Active
OlaMoney,"Digital Payments, Digital Custody","Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, eMoney Issuers, eMoney Wallet",2007,2015,Private,India,India,501-1000,,,,Active
Olly,Digital Lending,P2P / Marketplace Property Lending,2013,2013,Private,"Korea, Rep.",United States,30,,,,Active
Olly Credit,"Digital Lending, Digital Payments","Balance Sheet Consumer Lending, Money Transfer (P2P / P2B / B2P / B2B)",2017,2016,Private,India,India,Nov-50,,,,Active
OMLP2P,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2016,2016,Private,India,India,30,,,,Active
Omni Layer,Digital Custody,"Sub-segment protocols / construction, Hosted Cryptoasset Wallet, Block Explorers",,2013,Private,Unidentified,Unidentified,13,,,,Active
OmniBnk,Digital Lending,Invoice Trading,2016,2016,Private,Colombia,Colombia,76,,,,Active
OnceSync,"Enterprise Tech Provisioning, Digital Payments, Digital Identity","Digital Accounting, Financial Management & Business Intelligence, Enterprise Blockchain, AI / ML / NLP, Points of Access (PoS / mPoS / Online PoS), Security & Biometrics",2016,2020,Private,Kenya,Kenya,Nov-50,,,,Active
Onchain Custodian,Digital Custody,"Third-Party Custody, Key Management Services",2018,2019,Private,Singapore,Singapore,,,,,Active
OnDeck,Digital Lending,Balance Sheet Business Lending,2006,2006,Public,United States,United States,501-1000,,,,Active
One Acre Fund,Digital Lending,Balance Sheet Business Lending,2006,2006,Private,Kenya,Kenya,1001-5000,,,,Active
One planetcrowd,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Reward-Based Crowdfunding",2018,2012,Private,Netherlands,Netherlands,Nov-50,,,,Active
One Stack,Digital Banks,Fully Digitally Native Bank (Retail),2019,2019,Private,India,India,10-Jan,,,,Active
Onebanc,"Digital Banks, Digital Payments","Fully Digitally Native Bank (Retail), Money Transfer (P2P / P2B / B2P / B2B)",2019,2021,Private,India,India,51-200,,,,Active
OnePipe,"Digital Payments, Digital Identity, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments, KYC Solutions, Banking-as-a-Service (BaaS)",2018,2019,Private,Nigeria,Nigeria,Nov-50,,,,Active
OneScore,Alternative Credit Analytics,Credit Scoring,2019,2020,Private,India,India,51-200,,,,Active
Onfido,"Digital Identity, Enterprise Tech Provisioning, RegTech","KYC Solutions, Fraud Prevention & Risk Management, Security & Biometrics, API Management, AI / ML / NLP, Profiling & Due Diligence, Dynamic Compliance",2010,2014,Private,United Kingdom,United Kingdom,201-500,,,,Active
Onjuno,"Cryptoasset Exchange, Digital Payments","Retail Brokerage Services, Money Transfer (Cryptoasset)",2020,2020,Private,United States,United States,Nov-50,,,,Active
Online PSB Loans,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2015,2018,Private,India,India,51-200,,,,Active
OnMarket,Digital Capital Raising,Equity-Based Crowdfunding,2009,2016,Private,Australia,Australia,10-Jan,,,,Active
OOOBTC,Cryptoasset Exchange,Order-Book,,2017,Private,Unidentified,Singapore,,2020,,,Inactive
OPay,"Digital Payments, Digital Banks, Enterprise Tech Provisioning, WealthTech","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P), Top-ups & Refills, Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Agent Banking (Cash-In / Cash-Out), Financial Management & Business Intelligence, Personal Financial Management / Planning",2018,2018,Private,Nigeria,Nigeria,201-500,,,,Active
Open ,"Digital Banks, Enterprise Tech Provisioning, Digital Payments","Fully Digitally Native Bank (MSME), Electronic Invoicing, Digital Accounting, Digital Remittances (Cross Border-P2P)",2017,2017,Private,India,India,201-500,,,,Active
Open Energy Group,Digital Lending,P2P / Marketplace Business Lending,2013,2014,Private,United States,United States,30,,,,Active
OpenBazaar,Digital Payments,Consumer Spending,2015,2016,Private,United States,United States,8,,,,Active
OpenCircle,Digital Capital Raising,Equity-Based Crowdfunding,,2014,Private,Greece,Greece,,2018,,,Inactive
Opendoor,Digital Lending,Balance Sheet Property Lending,2013,2014,Public,United States,United States,1001-5000,,,,Active
OpenGamma,"RegTech, Enterprise Tech Provisioning","Risk Analytics, Market Monitoring, Dynamic Compliance, AI / ML / NLP",2009,2009,Private,United Kingdom,United Kingdom,51-200,,,,Active
OpenInvest,"WealthTech, Enterprise Tech Provisioning","Robo-Advisors, Personal Financial Management / Planning, Digital Wealth Management, Financial Management & Business Intelligence, API Management, Application development",2015,2015,Private,United States,United States,Nov-50,,,,Active
OpenSea,Cryptoasset Exchange,Single Dealer Platform / OTC Trading,2017,2018,Private,United States,United States,51-200,,,,Active
OpenTap,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,India,India,30,,,,Active
OpenTrade,Digital Capital Raising,Equity-Based Crowdfunding,2012,2012,Private,"Korea, Rep.","Korea, Rep.",6,,,,Active
Oportun,"Digital Lending, Digital Payments","Balance Sheet Consumer Lending, Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Education and Training",2005,2005,Public,United States,United States,1001-5000,,,,Active
Opportunity Network,Digital Lending,"Balance Sheet Consumer Lending, Balance Sheet Property Lending, Balance Sheet Business Lending",2014,2014,Private,United States,United Kingdom,176,,,,Active
Opstart,Digital Capital Raising,Equity-Based Crowdfunding,2017,2017,Private,Italy,Italy,,,,,Active
Optacredit,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Credit Scoring",1987,2016,Private,India,India,Nov-50,2019,,,Inactive
OptioPay,Enterprise Tech Provisioning,"API Management, Financial Management & Business Intelligence",2014,2014,Private,Germany,Germany,51-200,,,,Active
Oraan,WealthTech,"Personal Financial Management / Planning, Education and Training",2018,2018,Private,Pakistan,Pakistan,Nov-50,,,,Active
Orb,"Digital Payments, Enterprise Tech Provisioning","Payment processor, Enterprise Blockchain",2014,2014,Private,Japan,Japan,Nov-50,,,,Active
Orchard Platform,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2014,2013,Private,United States,United States,51-200,2018,,,Inactive
Orderbird,Digital Payments,Points of Access (PoS / mPoS / Online PoS),2011,2011,Private,Germany,Germany,51-200,,,,Active
Origin,"Enterprise Tech Provisioning, Digital Payments","Enterprise Blockchain, Asset-Backed Stablecoin",2017,2017,Private,United States,United States,Nov-50,,,,Active
Orion Fintech Africa - Orion ImageCapital Communication Ltd,Digital Lending,Invoice Trading,2015,2015,Private,Kenya,Kenya,10-Jan,,,,Active
Oro,Digital Lending,Balance Sheet Consumer Lending,2020,2020,Private,India,India,51-200,,,,Active
OroPocket,"WealthTech, Digital Payments","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2018,2017,Private,United Kingdom,India,Nov-50,,,,Active
Orowealth,WealthTech,"Digital Wealth Management, Financial Comparison Sites",2015,2015,Private,India,India,Nov-50,,,,Active
Orum,"Enterprise Tech Provisioning, RegTech, Digital Payments","AI / ML / NLP, Risk Analytics, API Hubs for Payments",2019,2020,Private,United States,United States,Nov-50,,,,Active
OSL,"Cryptoasset Exchange, Digital Custody","Order-Book, Single Dealer Platform / OTC Trading, Institutional Brokerage Services, Third-Party Custody, Key Management Services",,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",201-500,,,,Active
Osper,"Digital Banks, WealthTech","Agent Banking (Cash-In / Cash-Out), Personal Financial Management / Planning",2012,2014,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Ott Pay,Digital Payments,"Payment Gateways, Acquiring Services Providers for Merchants, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Bulk Payment Solutions, Top-ups & Refills",2016,2016,Private,Canada,Canada,51-200,,,,Active
OurCrowd,Digital Capital Raising,Equity-Based Crowdfunding,2012,2012,Private,Israel,Israel,98,,,,Active
OurExchange.com,Digital Capital Raising,Equity-Based Crowdfunding,2012,2015,Private,United States,United States,6,,,,Active
Oval Money,WealthTech,"Digital Wealth Management, Robo-Advisors, Personal Financial Management / Planning",2016,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
"Ovamba Solutions, Inc.",Digital Lending,Balance Sheet Business Lending,2013,2014,Private,Cameroon,United States,30,,,,Active
OVO ,"WealthTech, Digital Payments","Personal Financial Management / Planning, eMoney Issuers, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B)",,2017,Private,Indonesia,Indonesia,1001-5000,,,,Active
Own up,"Digital Lending, WealthTech","P2P / Marketplace Property Lending, Financial Comparison Sites",2015,2016,Private,United States,United States,51-200,,,,Active
Owoafara,"Digital Banks, Digital Capital Raising","Fully Digitally Native Bank (MSME), Revenue / Profit Share Crowdfunding",,2019,Private,Nigeria,Nigeria,10-Jan,,,,Active
Oxbury,"Digital Lending, Enterprise Tech Provisioning, Digital Banks","Balance Sheet Business Lending, Merchant Cash-Advance, Financial Management & Business Intelligence, Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail)",2018,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Oxigen Wallet,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Top-ups & Refills",2003,2013,Private,India,India,,,,,Active
OxyLoans,Digital Lending,P2P / Marketplace Consumer Lending,2016,2016,Private,India,India,6,,,,Active
Oxyzo,Digital Lending,Balance Sheet Business Lending,2016,2017,Private,India,India,201-500,,,,Active
OY!,Digital Payments,"Payment Aggregators, Money Transfer (P2P / P2B / B2P / B2B)",,2017,Private,Indonesia,Indonesia,51-200,,,,Active
OYE! Loans,Digital Lending,Balance Sheet Consumer Lending,2017,2017,Private,India,India,Nov-50,,,,Active
Oyster,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants, Financial Management & Business Intelligence",2019,2019,Private,Mexico,Mexico,51-200,,,,Active
p10,"Digital Payments, Digital Lending, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), Balance Sheet Consumer Lending, Customer Cash-Advance, Fully Digitally Native Bank (Retail)",2018,2020,Private,India,India,Nov-50,,,,Active
P2Binvestor,Digital Lending,P2P / Marketplace Business Lending,2013,2007,Private,United States,United States,30,,,,Active
Pacaso,"WealthTech, Digital Capital Raising","Digital Wealth Management, Revenue / Profit Share Crowdfunding",2020,2020,Private,United States,United States,51-200,,,,Active
Paddycover ,"InsurTech, Digital Lending","Usage-Based Insurance, Balance Sheet Consumer Lending",2018,2018,Private,Nigeria,Nigeria,10-Jan,,,,Active
Paga,Digital Payments,"Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Digital Remittances (Cross Border-P2P)",2009,2009,Private,Nigeria,Nigeria,201-500,,,,Active
Pagar.me,Digital Payments,"Payment Gateways, API Hubs for Payments",,2013,Private,Brazil,Brazil,201-500,,,,Active
Pago Rural,Digital Lending,Balance Sheet Business Lending,2012,2013,Private,Brazil,Brazil,10-Jan,,,,Active
PagoEfectivo,Digital Payments,"Acquiring Services Providers for Merchants, Payment Gateways, API Hubs for Payments",2000,2009,Private,Peru,Peru,51-200,,,,Active
Paguelo Facil S.A.,Digital Payments,"Payment Gateways, Payment Aggregators, Points of Access (PoS / mPoS / Online PoS), Settlement & Clearing Services Providers, Acquiring Services Providers for Merchants",2010,2010,Private,Panama,Panama,Nov-50,,,,Active
Paidy,"Digital Lending, Digital Payments","P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, Customer Cash-Advance, Payment Gateways",2018,2008,Private,Japan,Japan,51-200,,,,Active
Paisabazaar,"InsurTech, WealthTech, Alternative Credit Analytics","Comparison Portal, Financial Comparison Sites, Credit Scoring",2011,2011,Private,India,India,1001-5000,,,,Active
PaisaDukan,Digital Lending,P2P / Marketplace Consumer Lending,2017,2018,Private,India,India,Nov-50,,,,Active
Palgo,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending",2016,2016,Private,Peru,Peru,Nov-50,,,,Active
PalmPay,Digital Payments,"Top-ups & Refills, Mobile Money, Money Transfer (P2P / P2B / B2P / B2B)",,2019,Private,Nigeria,Nigeria,51-200,,,,Active
Panaesha Capital,Cryptoasset Exchange,"Retail Brokerage Services, Education and Training",2018,2018,Private,India,India,201-500,,,,Active
Panda Exchange,Cryptoasset Exchange,Order-Book,,2017,Private,Colombia,Colombia,Nov-50,,,,Active
